SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,EState_VSA2,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,PEOE_VSA14,Predcited_Energy,DFT_Energy
[Se](C(CCC=C(C)C)(C)C=C)C/C=C(/CCC=C(C)C)C,4.222,390.061,16.303,14.96,16.673,9.788,7.988,10.055,6.519,9.78,0,21,20.479,11.101,11.778,139.195,6.913,139.417,97.6458,97.54533809
BrC(OCCCC)C[Se]CC(Br)OCCCC,3.292,145.441,12.933,10.792,15.677,8.202,6.293,10.547,3.806,8.104,10.026,17,18.399,13.822,13.629,128.996,4.603,129.7,45.4526,45.35236717
[Se](C(C(N)c1ccc(O)cc1)C)C(C(N)c1ccc(O)cc1)C,1.988,560.424,16.983,13.386,15.099,10.88,7.627,9.605,5.781,9.472,38.539,23,17.827,7.842,4.723,143.227,3.119,143.358,130.2824,130.3822781
[Se](CC(OC)CCCCCC)CC(OC)CCCCCC,3.642,179.657,15.761,14.865,16.578,10.278,8.912,11.335,5.952,8.207,0,21,21.439,16.804,13.802,139.451,5.498,139.552,55.2589,55.15910137
[Se](CC(OC)(c1ccc(Cl)cc1)C)CC(OC)(c1ccc(Cl)cc1)C,2.072,615.6,18.502,15.014,18.239,11.826,8.03,11.208,6.377,9.317,11.202,25,20.768,8.902,5.228,166.522,5.958,167.243,144.0029,144.0833814
[Se](/C([Si](C)(C)C)=C/Cl)/C=C(/Cl)[Si](C)(C)C,4.643,272.127,12.276,10.319,15.544,6.587,4.924,14.584,5.557,19.299,0,15,16.013,6.084,6.348,112.294,4.606,112.848,70.4721,70.37152423
Br/C(=C(/[Se]/C(CC)=C(/Br)CC)CC)CC,4.816,228.348,11.845,9.993,14.878,7.099,5.529,8.828,3.172,7.583,0,15,15.959,9.038,5.719,117.39,5.544,118.103,61.1409,61.24063778
[Se]=[P+](CCc1occc1)CCc1occc1,1.687,379.578,11.217,8.964,11.572,7.843,5.312,9.241,3.588,8.696,6.168,16,11.853,6.198,3.751,103.664,3.223,103.578,88.821,88.89931726
[Se]=P(CCc1ccccc1)(CCc1ccccc1)CC[Se]C=C,1.957,575.105,16.383,13.564,17.885,11.217,8.092,14.854,5.738,16.326,0,23,18.98,10.501,7.382,154.711,4.839,155.554,134.4997,134.5998598
[Se](CCP(=[Se])(CCc1ccccc1)CCc1ccccc1)CCP(=[Se])(CCc1ccccc1)CCc1ccccc1,1.308,1157.383,28.644,24.151,31.08,20.02,14.897,26.441,11.013,30.249,0,41,33.197,18.186,12.822,270.686,8.7,273.044,265.401,265.5008533
[Se](CCP(CCc1ccccc1)CCc1ccccc1)CCP(CCc1ccccc1)CCc1ccccc1,1.226,955.816,26.799,23.335,26.837,19.348,14.532,20.749,10.238,18.174,15.843,39,30.223,18.578,12.539,246.262,9.462,247.674,222.078,221.9782368
[Se](C/C(=N/Cc1c(O)cccc1)CCCC)C/C(=N/Cc1c(O)cccc1)CCCC,1.965,779.306,22.313,18.887,20.6,15.135,11.294,13.717,7.722,9.79,0,31,25.163,14.827,9.711,193.257,6.601,193.835,180.6064,180.5065808
[Se]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,1.76,1274.353,26.384,21.623,25.125,19.338,13.171,21.181,9.313,25.481,14.072,39,25.95,11.837,4.936,238.382,6.509,239.795,284.1735,284.2735654
BrC(CCCCC)C[Se]CC(Br)CCCCC,3.292,137.158,12.933,11.39,16.275,8.202,7.061,11.315,4.724,9.569,0,17,18.479,13.901,13.708,131.499,6.215,132.324,44.3342,44.43447054
[Se](CCCc1cc(OCC)c(O)cc1)CCCC,2.311,339.266,13.217,11.446,13.159,8.774,6.8,9.222,4.305,6.874,5.75,18,15.397,9.294,5.79,116.904,4.064,116.838,83.2073,83.03388881
[Se](CCCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)CCCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.977,897.668,28.397,25.855,27.568,16.725,14.041,16.464,14.899,17.468,21.66,37,31.775,11.748,8.79,234.386,9.394,235.382,212.3764,212.4764346
BrC(C[Se]CC(Br)CO)CO,3.127,84.651,8.69,6.042,10.927,5.202,3.279,7.533,2.097,6.942,22.868,11,12.399,8.019,7.75,90.168,1.039,90.536,27.7302,27.5613563
[Se]([Si](c1ccccc1)(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1.[Se]([Si](c1ccccc1)(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1,0,2799.705,52.769,43.458,50.884,38.676,26.745,44.656,19.321,56.458,27.355,78,52.594,24.905,10.505,475.928,8.05,480.297,618.5969,618.4968083
[Se]=P(c1ccc(C=C)cc1)(c1ccccc1)c1ccccc1,2.232,761.846,15.416,12.223,14.83,10.747,7.193,11.198,5.076,11.291,0,22,15.253,6.629,2.808,139.297,3.707,139.668,169.5214,169.6638046
[Se]=P(c1c(/N=N/c2ccccc2)cccc1)(c1ccccc1)c1ccccc1.[Se]=P(c1c(/N=N/c2ccccc2)cccc1)(c1ccccc1)c1ccccc1,0,2352.771,38.472,30.439,35.654,27.564,18.12,26.13,12.609,24.971,0,56,39.107,19.139,9.106,344.154,10.959,346.769,512.0984,511.9981837
[Se]=P(c1cc2c(cc1)cccc2)(c1cc2c(cc1)cccc2)c1cc2c(cc1)cccc2,1.657,1466.729,21.545,17.48,20.087,15.714,10.8,14.805,8.204,14.419,0,32,19.714,7.875,3.259,195.302,6.524,196.231,317.0105,316.9109904
[Se](/C=C/C#Cc1ccccc1)/C=C/C#Cc1ccccc1,1.748,651.893,14.59,11.491,13.204,10.449,6.537,8.515,4.012,5.725,0,21,14.958,9.461,6.507,132.308,3.821,132.53,146.1288,146.02481
[Se]=P(C(C)(C)C)(C(C)(C)C)CNc1c(NCP(=[Se])(C(C)(C)C)C(C)(C)C)cc(F)c(F)c1,3.378,807.133,25.552,22.036,27.251,13.978,11.132,19.513,12.644,29.449,20.624,32,30.61,9.913,6.415,210.854,8.1,212.05,191.8699,191.7702473
Ic1ccc([Se]c2ccccc2)cc1,2.155,394.427,9.803,7.482,11.353,6.843,4.329,7.121,2.869,6.521,0,14,10.216,4.964,2.839,104.031,1.946,104.639,90.7111,90.86771872
[Se](C(COCc1ccccc1)COC)C(COCc1ccccc1)COC,1.761,540.276,19.159,16.212,17.925,13.313,9.181,11.16,6.292,9.661,0,27,22.092,13.891,9.519,168.873,3.994,169.188,129.4263,129.5262115
[Se]=[P+](CCc1ccc(Cl)cc1)CCc1ccc(Cl)cc1,1.75,512.536,14.372,11.059,15.178,9.631,6.543,11.227,4.682,10.663,6.168,20,16.214,8.323,5.681,138.681,5.344,139.336,119.0064,119.0560867
[Se][Si](CC)(CC)CC.[Se]=[AlH3],0,67.883,8.621,6.438,10.864,4.682,3.386,8.485,2.244,12.182,0,10,14.32,8.881,6.495,87.865,0.595,88.458,24.1701,24.27014953
BrC(Cl)=C([Se]c1ccccc1)Cl,2.718,280.369,8.975,5.929,10.74,5.698,3.136,6.398,1.949,6.737,14.957,12,10.619,5.308,3.506,96.226,3.015,96.755,66.7797,66.66047195
[Se](C(c1ccccc1)=CC(=O)c1ccccc1)C(c1ccccc1)=CC(=O)c1ccccc1,1.76,1173.49,22.882,17.926,19.64,16.204,10.614,12.327,7.312,9.586,26.523,33,22.415,11.193,6.138,200.017,6.539,200.789,258.729,258.6287986
[Se](CC#C[Si](C)(C)C)CC#C[Si](C)(C)C,3.717,266.965,11.95,10.822,14.536,6.707,5.284,14.707,5.596,17.164,0,15,15.073,6.612,14.073,103.795,3.289,103.953,68.9465,69.04625223
[Se-2].[Se-2].[Se-2].[Se-2].[Fe+2].[Cr+3].[Cr+3],0,9.651,0,2.803,13.31,0,0,0,0,0,120.066,7,74.216,54.055,42.295,118.094,-1.531,51.791,9.7064,9.806368306
[Se]=P(C(C)(C)C)(C(C)(C)C)CNc1c(NCP(=[Se])(C(C)(C)C)C(C)(C)C)cc(Cl)c(Cl)c1,3.378,807.133,25.552,22.036,28.763,13.978,11.132,20.268,12.644,30.264,20.624,32,31.329,10.347,6.739,223.13,9.128,224.882,192.6259,192.7259302
[Se]=P(c1c(-c2c(P(=[Se])(c3cc(C)cc(C)c3)c3cc(C)cc(C)c3)ccc3c2OCCO3)c2c(cc1)OCCO2)(c1cc(C)cc(C)c1)c1cc(C)cc(C)c1,1.582,2289.665,39.518,33.41,38.625,26.748,19.178,27.188,15.57,27.931,0,56,39.254,15.303,7.022,346.962,8.118,349.5,502.6231,502.522773
[Se](S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,2.367,686.391,13.933,9.631,12.977,8.917,5.23,12.242,3.602,15,9.791,19,14.272,5.464,3.448,116.154,1.468,116.516,152.0357,151.9351385
[Se](CC(=O)c1ccc(OC)cc1)CC(=O)c1ccc(OC)cc1,1.826,602.926,16.656,13.074,14.787,11.135,7.06,9.483,4.796,6.864,26.523,23,17.256,8.511,4.947,141.509,3.31,141.601,138.3877,138.2872149
[Se]=P(/C(C(C)(C)C)=C\Sc1[nH]c2c(n1)cccc2)(c1ccc(C)cc1)c1ccc(C)cc1,1.872,1230.038,22.933,19.216,22.64,15.175,10.749,15.634,9.21,16.249,5.415,32,23.332,9.196,4.749,202.721,6.911,203.815,272.0811,272.1811746
[Sm+3].[Sm+3].[Se-2].[Se-2].[Se-2],0,4.855,0,2.041,12.419,0,0,0,0,0,131.983,5,34.924,24.037,17.85,128.368,-1.142,80.777,7.9969,7.920779666
[Se]=P(c1c(OC)cccc1)(c1c(OC)cccc1)c1c(OC)cccc1,2.422,832.808,18.571,15.008,17.616,12.662,8.173,12.178,5.625,11.736,0,26,18.79,8.138,3.21,161.693,3.09,162.105,187.1863,187.2862675
[Se](c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,2.079,465.95,13.828,11.921,13.635,9.059,6.287,8,4.879,7.285,0,19,13.979,6.137,3.759,121.748,1.474,121.777,109.1322,109.0763912
[Se](=[Se])[c-]1cccc1.[Fe+2].[cH-]1cccc1,0,267.363,8.648,6.866,11.397,5.932,3.615,8.805,2.166,5.322,17.069,13,13.258,8.839,6.345,101.769,1.222,72.046,64.5119,64.41190143
[Se](CC(Cl)c1ccccc1)CC(Cl)c1ccccc1,1.777,427.122,13.502,10.507,13.732,9.271,6.229,9.525,4.294,7.603,10.754,19,14.938,7.968,4.854,130.835,5.487,131.342,100.7215,101.0885273
[Se](C(COc1c2c(ccc1)cccc2)CCl)C(COc1c2c(ccc1)cccc2)CCl,1.37,1034.579,21.468,17.047,20.272,15.28,10.267,13.314,7.265,11.251,24.589,31,22.299,11.109,5.67,199.156,7.21,200.212,230.448,230.34791
BrC(C[Se]CC(Br)COc1c2c(ccc1)cccc2)COc1c2c(ccc1)cccc2,1.198,1034.579,21.468,17.047,21.932,15.204,10.275,14.529,7.309,12.154,0,31,22.666,11.376,6.26,206.284,7.519,207.77,231.2608,231.1608541
[Se-][NH+]([C@@H](Cc1ccccc1)C(O)=O)C(OCC1c2c(cccc2)-c2c1cccc2)=O,1.479,1024.066,21.087,16.155,17.868,14.559,9.719,10.575,7.27,8.193,22.862,30,20.356,8.839,4.029,182.867,2.6,183.309,226.6832,226.5832041
[Se](C1(OC(=O)c2ccccc2)CCCCC1)C1(OC(=O)c2ccccc2)CCCCC1,1.571,795.295,21.573,17.886,19.599,15.099,11.369,13.082,8.556,12.106,26.895,31,22.106,10.014,5.583,190.417,5.725,190.956,182.6419,182.7416309
BrCC([Se]C(CCCC)CBr)CCCC,3.773,116.791,11.519,9.976,14.861,7.278,6.053,10.274,3.973,8.637,0,15,16.479,11.95,9.205,118.769,5.438,119.482,38.6121,38.71245996
[Se]=[P+](CC(c1ccccc1)C)CC(c1ccccc1)C,1.896,486.359,14.372,12.198,14.805,9.665,7.185,11.113,5.47,10.415,6.168,20,15.645,7.888,4.67,130.805,5.159,131.063,114.0547,113.9544796
[Se]=P(CCSCCCCCCC)(CCSCCCCCCC)CCSCCCCCCC,4.059,349.304,23.592,22.051,27.108,15.682,13.985,22.01,9.309,21.316,0,32,33.999,27.585,25.103,224.309,10.198,225.979,99.7187,99.81891835
[Se].[Ge].[Ge].[Si](CC)(CC)CC.[Si](CC)(CC)CC,0,77.487,11.397,12.651,20.56,6.692,6.364,10.607,3.621,10.864,69.856,17,31.434,26.572,23.545,146.505,3.939,0,34.2569,34.35692391
[Se](c1c(-c2ncccc2)n[nH]c1C)c1c(-c2ncccc2)n[nH]c1C.[Cu+2].[Cu+].[OH3+].O.[O-][N+]([O-])=O.O.[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O.O.O,0,1276.37,31.535,23.684,27.28,19.165,10.035,11.748,6.479,8.62,76.475,48,61.817,33.248,27.21,293.07,-3.653,185.183,287.8481,287.7483053
[Se](C(Cc1cc(OC)c(OC)cc1)COC)C(Cc1cc(OC)c(OC)cc1)COC,2.137,732.134,22.64,19.305,21.018,15.074,10.131,12.109,7.078,10.446,0,31,25.341,13.483,7.615,191.83,4.08,192.248,171.6635,171.677125
[Se](/C=C/C#C[Si](C)(C)C)/C=C/C#C[Si](C)(C)C,3.988,357.954,13.364,11.718,15.431,7.707,5.715,14.694,5.78,16.993,0,17,16.553,7.798,15.553,115.145,3.48,115.416,88.4015,88.30123442
[Re](=[Se])=[Se],3.266,23.774,2.707,1.194,7.336,1.414,0.309,13.126,0.063,13.922,12.777,3,4.701,3.701,3.701,38.459,-0.764,38.681,10.0391,9.938735132
[Re].[Re].[Se-2].[Se-2].[Se-2].[Se-2].[Se-2].[Se-2].[Se-2],0,6.878,0,3.614,21.037,0,0,0,0,0,160.326,9,95.291,75.341,63.27,157.096,-2.671,0,13.3397,13.43959467
[Se]=P(c1ccc(C(=P(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1)(c1ccccc1)c1ccccc1,1.582,1980.651,31.238,25.433,28.935,22.719,15.533,21.327,11.219,20.773,0,46,30.444,13.647,5.558,280.193,7.627,281.997,430.3005,430.4005595
[Se](CCNC(=O)c1ccccc1)CCNC(=O)c1ccccc1,1.529,561.933,16.33,12.827,14.54,11.271,7.514,9.937,4.856,7.426,11.814,23,17.256,9.823,6.265,142.381,2.387,142.512,129.8393,129.9394123
[Se]=P(Cc1ccccc1)(c1ccccc1)c1ccccc1,2.098,692.795,14.546,11.723,14.33,10.289,7.032,11.222,5.055,11.806,0,21,14.543,6.582,3.272,133.622,3.939,133.936,154.9868,155.1226963
[Se]([Si](CC)(CC)CC)[Si](CC)(CC)CC,4.743,128.476,11.95,11.651,15.364,7.071,6.772,16.971,4.589,29.137,0,15,15.953,7.312,4.029,104.685,4.701,104.844,42.0969,42.19666059
[Se](C[Si](OC)(OC)OC)C[Si](OC)(OC)OC,4.276,163.925,13.364,11.272,14.985,8.071,4.959,11.245,3.084,13.333,14.957,17,17.713,8.753,5.07,111.758,0.362,111.665,49.2231,49.32312625
[Se]=P(N(CC)CC)(N(CC)CC)N(CC)CC,5.383,197.866,13.475,12.44,15.047,8.058,6.923,10.786,3.93,9.737,0,17,17.829,8.849,3.894,115.913,2.858,115.881,56.6535,56.67507793
[Se]=P(c1c2c(ccc1)cccc2)(c1c2c(ccc1)cccc2)c1c2c(ccc1)cccc2,1.821,1450.979,21.545,17.48,20.087,15.765,10.817,14.823,8.104,14.216,0,32,19.714,7.875,3.013,195.302,6.524,196.231,313.8769,313.953782
[SbH6+3].[SbH6+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.225,6.364,0,0,0,0,0,100.062,5,41.561,27.051,19.023,98.296,-5.116,48.856,4.643,4.542961569
[Se]=P(c1ncccc1)(c1ncccc1)c1ncccc1,2.272,629.421,13.839,10.625,13.233,9.816,6.165,10.17,4.173,10.214,0,20,13.386,5.802,2.383,124.916,1.249,125.051,141.1296,141.2294816
[Se]=P(c1occc1)(c1occc1)c1occc1,2.257,532.49,11.717,8.776,11.384,8.316,5.039,9.044,3.463,9.451,0,17,10.913,4.228,1.694,105.64,1.843,105.55,119.4412,119.5410136
[Se]=P(/C=C/P(=[Se])(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1.9,1033.306,20.866,16.413,21.628,14.628,9.752,17.901,6.956,19.501,0,30,21.74,9.765,4.563,194.066,4.962,195.393,230.4902,230.3902299
[Se]=P(c1ccc(N(C)C)cc1)(c1ccccc1)c1ccccc1,2.189,767.78,16.286,13.386,15.993,11.12,7.614,11.619,5.691,11.906,0,23,16.274,6.888,3.211,145.747,3.13,146.132,172.0116,172.1111433
[Se](C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,6.155,302.886,17.707,8.7,10.413,8.707,4.054,5.767,3.284,6.072,0,21,20.539,5.03,3.484,111.162,4.271,110.262,75.1913,75.29105903
[Tb+3].[Tb+3].[Se-2].[Se-2].[Se-2],0,4.855,0,1.891,11.308,0,0,0,0,0,128.429,5,35.38,24.231,17.911,125.029,-1.142,77.223,7.3814,7.336074486
[Se]([c-]1cccc1)[c-]1cccc1.[Fe+2].[Fe+2].[cH-]1cccc1.[cH-]1cccc1,0,525.092,14.59,12.508,16.429,10.449,6.896,8.609,4.268,6.674,34.137,23,21.958,14.544,10.365,166.044,3.585,106.549,122.6131,122.5133606
[Se](c1c(Cc2c(C)cccc2)cccc1)c1c(Cc2c(C)cccc2)cccc1,1.624,1021.329,20.054,17.06,18.773,14.204,10.132,11.845,7.524,9.798,0,29,19.705,9.265,4.877,180.343,5.14,181.012,226.6549,226.5546488
BrCC([Se]C(COCc1ccccc1)CBr)COCc1ccccc1,1.677,516.924,17.744,14.152,19.037,12.313,8.322,12.543,5.69,10.354,0,25,21.143,13.075,8.852,173.651,5.491,174.801,124.055,124.1125451
[Se]=[P+](CCc1ccc(C(C)(C)C)cc1)CCc1ccc(C(C)(C)C)cc1,1.801,649.291,19.372,17.303,19.91,12.054,9.665,13.593,9.323,14.431,16.998,26,21.558,8.966,6.77,168.994,6.632,169.588,152.7261,152.6259063
BrC(C[Se]CC(Br)c1ccccc1)c1ccccc1,1.777,427.122,13.502,10.507,15.392,9.271,6.229,10.483,4.294,8.76,0,19,15.311,8.261,5.073,137.964,5.8,138.9,101.5515,101.6514398
[Se](c1ccc(OCC2OC2)cc1)c1ccc(OCC2OC2)cc1,1.29,575.576,15.485,12.643,14.356,11.348,7.718,9.431,5.578,7.984,14.957,23,15.033,6.933,4.723,141.401,0.897,141.493,132.1249,132.2245736
[Se](/C(CC)=C(/Cl)CC)/C(CC)=C(/Cl)CC,4.816,228.348,11.845,9.993,13.218,7.099,5.529,7.998,3.172,6.581,0,15,15.579,8.7,5.448,110.262,5.231,110.545,60.3109,60.41068809
[Se](c1ccc(OC(=O)C(F)(F)F)cc1)c1ccc(OC(=O)C(F)(F)F)cc1,1.972,743.29,20.242,12.928,14.641,12.448,6.91,8.623,4.819,7.226,26.456,27,20.787,8.013,6.296,153.772,2.277,153.607,167.4195,167.5191602
[Se](CCCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)CCCCCCCCCCCC,2.279,571.139,23.33,21.91,23.623,14.57,13.016,15.439,11.437,14.007,10.83,31,28.572,14.64,11.818,200.9,9.381,201.62,142.0302,141.9302541
[Se](CC(Cl)CCCCCC)CC(Cl)CCCCCC,3.299,158.132,14.347,12.804,16.029,9.202,8.061,11.357,5.431,8.92,0,19,20.099,15.488,15.309,137.1,6.683,137.607,49.3965,49.29656568
[Se](CC(Cl)CCCCC)CC(Cl)CCCCC,3.292,137.158,12.933,11.39,14.615,8.202,7.061,10.357,4.724,8.213,0,17,18.099,13.529,13.333,124.371,5.903,124.765,43.5042,43.50354943
[Se](CC(Cl)CCCC)CC(Cl)CCCC,3.272,116.791,11.519,9.976,13.201,7.202,6.061,9.357,4.016,7.506,0,15,16.099,11.581,11.364,111.641,5.122,111.924,37.732,37.73070675
Brc1cc(CCC[Se]CCCC)ccc1O,2.191,314.801,11.803,9.708,13.007,7.736,5.789,9.004,3.855,7.279,0,16,14.082,8.161,5.379,112.928,4.428,113.224,77.1069,77.13536594
[Se](CC(OC)Cc1cc(OC)c(OC)cc1)CC(OC)Cc1cc(OC)c(OC)cc1,1.888,732.134,22.64,19.305,21.018,15.074,10.131,12.554,7.04,9.295,12.208,31,25.341,13.483,7.615,191.83,4.077,192.248,171.6386,171.7383191
[Se](CCN1CCCCC1)CCN1CCCCC1,1.424,166.661,11.761,11.202,12.915,8.449,7.475,9.897,5.417,7.987,0,17,13.862,8.526,5.739,113.272,2.499,113.189,47.9412,47.93591524
[Pt+2].[Se](C)C.[Se](C)C.S([O-])([O-])(=O)=O.O,0,129.47,9.914,7.674,14.189,4.828,2.3,10.485,1.225,5.467,26.541,13,29.293,23.404,746.713,106.908,-0.592,74.267,39.0323,39.13199431
[Se](c1c(-c2ccccc2)n[nH]c1C)c1c(-c2ccccc2)n[nH]c1C,1.78,905.48,17.225,14.076,15.789,12.237,8.124,9.837,5.887,8.028,14.957,25,15.881,6.709,3.042,152.408,2.739,152.689,199.9664,200.8332136
[Hg]C.[Hg]C.[Se],0,7.61,4,3.822,16.531,2,1.414,12.41,0,0,17.069,5,15.657,32.504,21.561,76.887,0.782,61.108,12.5163,12.41674328
[Se](CC#Cc1ccccc1)CC#Cc1ccccc1,1.712,549.225,13.176,10.596,12.309,9.449,6.106,8.528,3.828,5.896,0,19,13.51,8.229,5.497,120.957,3.631,121.068,124.3619,124.3514813
[Se]=P(c1ccccc1)(c1ccccc1)c1ncccc1,2.272,623.293,13.839,10.886,13.493,9.816,6.445,10.45,4.468,10.625,0,20,13.519,5.891,2.43,126.477,2.459,126.694,140.1384,140.2252807
[Se](P(=[Se])(CC)CC)P(=[Se])(CC)CC,4.567,197.544,10.536,8.948,15.876,5.95,4.824,18.007,2.976,37.129,0,13,15.418,6.885,5.333,104.213,2.802,105.007,54.6435,54.54355327
[Se]=P1(N2CCCCCC2)N(C)c2c(c(C)ccc2)-c2c(cccc2C)N1C,2.004,840.926,19.181,16.904,19.511,12.958,9.995,13.858,7.866,13.742,0,27,19.274,7.409,3.021,171.286,5.579,171.812,190.657,190.5570574
